ID	Model	Organism	Taxonomy	Author	Year	Publication	HasFile	Valid?	Erro
50	iCS400	Haemophilus influenzae Rd KW20	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus influenzae	Schilling	2000	http://dx.doi.org/10.1006/jtbi.2000.1088	false	false	
42	iJL432	Clostridium acetobutylicum ATCC 824	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium acetobutylicum	Lee	2008	http://dx.doi.org/10.1007/s00253-008-1654-4	false	false	
128	iNF518	 Lactococcus lactis subsp. cremoris MG1363	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. cremoris	Flahaut	2013	http://dx.doi.org/10.1007/s00253-013-5140-2	true	true	
142	iPC1209	Pectobacterium carotovorum subsp. carotovorum PC1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Pectobacterium; Pectobacterium carotovorum; Pectobacterium carotovorum subsp. carotovorum	Cheng Wang	2015	http://dx.doi.org/10.1016/j.febslet.2014.12.010	false	false	
120	iTZ479_v2	Thermotoga maritima	Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	Nogales	2012	http://dx.doi.org/10.1016/j.ijhydene.2012.06.032	false	false	
52	iWZ663	Ketogulonicigenium vulgare WSH-001	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Ketogulonicigenium; Ketogulonicigenium vulgare	Zou	2012	http://dx.doi.org/10.1016/j.jbiotec.2012.05.015	false	false	
112	iMZ1055	 Bacillus megaterium WSH-002	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus megaterium	Wei Zou	2013	http://dx.doi.org/10.1016/j.jbiotec.2013.01.019	true	false	
116	iSS352	Xanthomonas campestris pv. campestris str. B100	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas; Xanthomonas campestris; Xanthomonas campestris pv. campestris	Schatschneider	2013	http://dx.doi.org/10.1016/j.jbiotec.2013.01.023	true	false	
117	iSS352	Xanthomonas campestris pv. campestris str. B100	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas; Xanthomonas campestris; Xanthomonas campestris pv. campestris	Schatschneider	2013	http://dx.doi.org/10.1016/j.jbiotec.2013.01.023	true	false	
90	iMA871	Aspergillus niger CBS 513.88	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus niger	Andersen	2008	http://dx.doi.org/10.1038/msb.2008.12	true	false	
93	iAC560	Leishmania major Friedlin	Eukaryota; Euglenozoa; Kinetoplastida; Trypanosomatidae; Leishmaniinae; Leishmania;	Chavali	2008	http://dx.doi.org/10.1038/msb.2008.15	true	false	
60	VvuMBEL943	 Vibrio vulnificus CMCP6	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio	Kim	2011	http://dx.doi.org/10.1038/msb.2010.115	true	true	
28	iTH366	Plasmodium falciparum	Eukaryota; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodium	Plata	2010	http://dx.doi.org/10.1038/msb.2010.60	true	true	
26	iRC1080	Chlamydomonas reinhardtii	Eukaryota; Viridiplantae; Chlorophyta; Chlorophyceae; Chlamydomonadales; Chlamydomonadaceae	Chang	2011	http://dx.doi.org/10.1038/msb.2011.52	true	true	
9	iJO1366	Escherichia coli str. K12 substr. MG1655	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia	Orth	2011	http://dx.doi.org/10.1038/msb.2011.65	true	true	
105	iJW145	Mycoplasma pneumoniae	Bacteria; Tenericutes; Mollicutes; Mycoplasmatales; Mycoplasmataceae; Mycoplasma	Wodke	2013	http://dx.doi.org/10.1038/msb.2013.6	true	false	
20	iAF692	Methanosarcina barkeri	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae	Feist	2006	http://dx.doi.org/10.1038/msb4100046	true	true	
